PlateID,Num_CIL_images,Num_CIL_wells,Num_CIL_complete wells,Num_CIL_sites,Num_CIL_complete_sites,Num_QC_stats,Num_blurry_sites,Num_saturated_sites,Num_well_profiles
25965,11520,384,384,2304,2304,2304,0,25,384
25966,11520,384,384,2304,2304,2304,1,20,383
25967,11520,384,384,2304,2304,2304,0,20,384
25968,11520,384,384,2304,2304,2304,0,36,381
25983,11520,384,384,2304,2304,2304,0,17,383
25984,11520,384,384,2304,2304,2304,0,30,384
25985,11520,384,384,2304,2304,2304,0,31,384
25986,11520,384,384,2304,2304,2304,0,25,383
25987,11520,384,384,2304,2304,2304,0,56,383
25988,11520,384,384,2304,2304,2304,0,50,383
25989,11520,384,384,2304,2304,2304,0,17,384
25990,11520,384,384,2304,2304,2304,0,29,384
25991,11520,384,384,2304,2304,2304,1,31,384
25992,11520,384,384,2304,2304,2304,0,39,383
25993,11520,384,384,2304,2304,2304,0,5,384
25994,11520,384,384,2304,2304,2304,0,38,384
25997,11520,384,384,2304,2304,2304,0,21,384
26002,11520,384,384,2304,2304,2304,0,17,384
26006,11520,384,384,2304,2304,2304,0,28,384
26007,11520,384,384,2304,2304,2304,0,44,384
26008,11520,384,384,2304,2304,2304,0,40,384
26009,11520,384,384,2304,2304,2304,0,32,384
26058,11520,384,384,2304,2304,2304,0,40,384
26060,11520,384,384,2304,2304,2304,0,48,384
26061,11520,384,384,2304,2304,2304,0,25,384
26071,11520,384,384,2304,2304,2304,0,24,384
26081,11520,384,384,2304,2304,2304,0,63,384
26092,11520,384,384,2304,2304,2304,0,45,384
26107,11520,384,384,2304,2304,2304,0,25,384
26110,11520,384,384,2304,2304,2304,6,34,384
26115,11520,384,384,2304,2304,2304,0,35,384
26118,11520,384,384,2304,2304,2304,0,21,384
26124,11520,384,384,2304,2304,2304,0,44,384
26126,11520,384,384,2304,2304,2304,0,44,384
26128,11520,384,384,2304,2304,2304,0,45,384
26133,11520,384,384,2304,2304,2304,0,88,384
26135,11520,384,384,2304,2304,2304,0,49,384
26138,11520,384,384,2304,2304,2304,0,5,383
26140,11520,384,384,2304,2304,2304,0,20,384
26159,11520,384,384,2304,2304,2304,0,43,384
26166,11520,384,384,2304,2304,2304,0,28,384
26174,11520,384,384,2304,2304,2304,0,27,384
26181,11520,384,384,2304,2304,2304,0,20,384
26202,11520,384,384,2304,2304,2304,0,23,384
26203,11520,384,384,2304,2304,2304,0,40,384
26204,11520,384,384,2304,2304,2304,0,30,384
26205,11520,384,384,2304,2304,2304,0,41,384
26207,11520,384,384,2304,2304,2304,0,65,384
26216,11520,384,384,2304,2304,2304,0,15,384
26224,11520,384,384,2304,2304,2304,1,53,383
26232,11520,384,384,2304,2304,2304,0,27,384
26239,11520,384,384,2304,2304,2304,0,24,384
26247,11520,384,384,2304,2304,2304,6,71,384
26271,11520,384,384,2304,2304,2304,0,39,384
26521,11195,375,372,2239,2239,2239,1,21,375
26531,11375,380,379,2275,2275,2275,0,37,380
26542,11520,384,384,2304,2304,2304,0,29,384
26544,11520,384,384,2304,2304,2304,0,13,384
26545,11345,380,377,2269,2269,2269,0,108,380
26562,11520,384,384,2304,2304,2304,0,49,384
26563,11520,384,384,2304,2304,2304,0,34,383
26564,2250,81,70,450,450,450,0,5,81
26569,500,18,15,100,100,100,0,2,18
26572,1750,63,55,350,350,350,0,3,63
26574,2750,99,87,550,550,550,0,20,99
26575,2710,94,85,542,542,542,0,5,94
26576,3270,114,104,654,654,654,0,9,114
26577,7020,242,227,1404,1404,1404,0,18,242
26578,8520,290,277,1704,1704,1704,0,52,290
26579,10160,343,333,2032,2032,2032,0,29,343
26580,11270,376,375,2254,2254,2254,0,127,376
26588,11520,384,384,2304,2304,2304,0,32,384
26592,11270,376,375,2254,2254,2254,0,226,376
26595,11480,383,382,2296,2296,2296,0,64,383
26596,10955,369,362,2191,2191,2191,0,82,369
26598,11065,371,366,2213,2213,2213,0,368,371
26600,11315,378,376,2263,2263,2263,0,233,378
26601,11515,384,383,2303,2303,2303,0,18,383
26607,11520,384,384,2304,2304,2304,0,43,384
26608,11520,384,384,2304,2304,2304,0,52,384
26611,11520,384,384,2304,2304,2304,0,24,384
26612,11520,384,384,2304,2304,2304,1,57,384
26622,11520,384,384,2304,2304,2304,0,38,384
26623,11520,384,384,2304,2304,2304,1,48,383
26625,11520,384,384,2304,2304,2304,0,44,384
